fecha,dia_semana,semana,titulo_interno,tipo_contenido,hook,angulo_emocional,etapa_funnel,plataforma,formato,duracion_segundos,estado,palabras_clave,cta,fecha_publicacion,fecha_creacion,id_airtable,notas
2026-05-18,Lunes,S1,El error que todos cometen con los deberes,TOFU,¿Por qué tu hijo sabe todo pero suspende los exámenes?,Frustración parental / incomprensión,TOFU,Instagram,Reel,30,SCRIPT,altas capacidades adolescentes deberes notas colegio,Guarda este vídeo si lo necesitas,2026-05-18,2026-05-10,REC-001,Publicar 9:00h. Caption ya redactado. Música tensa que rompe al giro.
2026-05-19,Martes,S1,Explosión emocional a las 8 de la mañana,TOFU,Mi hijo explota por cosas que parecen tonterías y no sé qué hacer,Agobio / caos matutino,TOFU,TikTok,Reel,45,SCRIPT,hipersensibilidad explosiones emocionales AACC adolescente,Comenta CALMA si esto te pasa,2026-05-19,2026-05-10,REC-002,Música de fondo tensa que baja al segundo 10. Ritmo muy rápido en los primeros 5s.
2026-05-20,Miércoles,S1,Pantallas sí o no - la trampa de la norma,MOFU,No es un problema de pantallas. Es un problema de conexión.,Culpa / control parental,MOFU,YouTube Shorts,Reel,58,IDEA,pantallas límites adolescentes AACC tecnología normas,Descarga NOA y prueba el módulo de límites,2026-05-20,2026-05-10,REC-003,Pendiente definir gancho visual. Revisar datos de uso de pantalla en España 2025.
2026-05-21,Jueves,S1,Cuando tu hijo cuestiona cada norma del hogar,TOFU,Si tu hijo discute todo lo que dices puede que no sea rebeldía,Cansancio / perplejidad,TOFU,Instagram,Reel,30,VOICE,pensamiento crítico AACC normas adolescente cuestionamiento,Etiqueta a otro padre que necesite leer esto,2026-05-21,2026-05-10,REC-004,Locución grabada. Pendiente edición. Giro emocional en segundo 22.
2026-05-22,Viernes,S1,El agotamiento del padre de un AACC,MOFU,Nadie te preparó para criar a un niño que piensa más rápido que tú,Agotamiento / soledad parental,MOFU,TikTok,Reel,38,SUBS,agotamiento parental AACC crianza adolescente,Prueba NOA gratis 7 días,2026-05-22,2026-05-10,REC-005,Subtítulos en revisión. Silencio dramático en segundo 8. Luz cálida íntima.
2026-05-23,Sabado,S1,Lo que el 78% de padres de AACC no sabe sobre hipersensibilidad,TOFU,El 78% de padres de AACC dice que su mayor reto es la hipersensibilidad. ¿El tuyo también?,Sorpresa / validación,TOFU,Instagram,Carrusel,0,APPROVED,hipersensibilidad AACC estadísticas datos padres,Sigue nuestra cuenta para más contenido así,2026-05-23,2026-05-10,REC-006,Carrusel de 6 slides. Ya aprobado. Programar en Later a las 11:00h.
2026-05-24,Domingo,S1,Reutilización - mejor engagement semana 1,RECICLADO,Reel o Story con mayor interacción de la semana,Según pieza original,TOFU,Instagram,Story,15,RECYCLED,,,2026-05-24,2026-05-10,REC-007,Reutilizar el contenido de mayor engagement de la semana S1.
2026-05-25,Lunes,S2,Por qué explicar demasiado no funciona,TOFU,Cuanto más le explicas a tu hijo por qué tiene que obedecer peor va todo,Confusión / desgaste,TOFU,Instagram,Reel,32,VIDEO,AACC adolescente razonamiento normas comunicación,Guarda si reconoces este patrón,2026-05-25,2026-05-14,REC-008,Vídeo grabado. En montaje. Gancho debe completarse antes del segundo 2.
2026-05-26,Martes,S2,La culpa de los padres que no saben cómo ayudar,MOFU,Me siento un mal padre porque no sé cómo conectar con mi hijo,Culpa / vergüenza,MOFU,TikTok,Reel,52,VIDEO,culpa parental AACC apoyo emocional adolescente,Descarga NOA - hay un módulo solo para ti,2026-05-26,2026-05-14,REC-009,Formato confesional. Cámara fija. Luz cálida. Sin cortes de montaje en la parte emocional.
2026-05-27,Miércoles,S2,NOA vs terapia - en qué se diferencia,BOFU,No es terapia. Es algo que puedes hacer tú mismo cada noche en 10 minutos,Esperanza / practicidad,BOFU,YouTube Shorts,Reel,58,APPROVED,NOA app AACC diferencia terapia herramienta padres,Descarga NOA gratis,2026-05-27,2026-05-14,REC-010,Aprobado. Incluir pantallas de la app en la segunda mitad del vídeo.
2026-05-28,Jueves,S2,Cuando el problema social llega al instituto,TOFU,Mi hijo es el más listo de la clase y el que menos amigos tiene,Dolor / preocupación,TOFU,Instagram,Reel,28,SCRIPT,problemas sociales AACC adolescente instituto amigos,Comenta SOLO si esto te suena,2026-05-28,2026-05-14,REC-011,Gancho muy emocional. Cuidado con no sonar alarmista. Tono de acompañamiento.
