id,fecha_creacion,titulo_interno,hook_v1,hook_v2,hook_v3,angulo_emocional,problema_principal,emocion_dominante,etapa_funnel,cta_recomendado,formato_visual,duracion_estimada,palabras_clave,estado,prioridad,semana_publicacion,notas,veces_reciclado
IDEA-001,2026-05-10,El ciclo de los deberes sin fin,¿Por qué tu hijo estudia horas y sigue sin sacar buenas notas?,Tu hijo sabe la materia pero en el examen se bloquea. Esto es lo que pasa.,La inteligencia no garantiza las notas. Esto es lo que sí lo hace.,Frustración + incomprensión,Hijo AACC que rinde por debajo de su capacidad en exámenes,Frustración,TOFU,Guarda este vídeo para la próxima vez que te frustres con las notas,Reel hablado a cámara con texto superpuesto,30-35s,deberes notas AACC rendimiento académico bloqueo examen,APPROVED,ALTA,S1,Conectar con la teoría del doble potencial en AACC. Dato: 40% de AACC tienen bajo rendimiento escolar.,2
IDEA-002,2026-05-10,La explosión de las 8 de la mañana,Son las 8 de la mañana y tu hijo ya está en crisis. La jornada acaba de empezar.,Mi hijo explota por cosas que parecen completamente tonterías.,Antes de llegar al colegio ya habéis discutido dos veces. Esto tiene solución.,Agobio + desorientación,Explosiones emocionales desproporcionadas al inicio del día,Agobio,TOFU,Comenta CALMA si reconoces este patrón en tu casa,Reel dinámico con cambio de ritmo a mitad,40-45s,hipersensibilidad AACC explosiones mañana rutina conflicto,APPROVED,ALTA,S1,Ángulo neurológico: el sistema nervioso del AACC ya está saturado antes de salir de casa. Sin validar esta idea se percibe como rebeldía.,1
IDEA-003,2026-05-10,La trampa de las pantallas,No le quites las pantallas. Primero entiende qué le dan que tú no puedes darle aún.,Las pantallas no son el problema. Son el síntoma de algo más profundo.,Tu hijo prefiere una pantalla antes que hablar contigo. Hay una razón muy concreta.,Culpa + confusión parental,Abuso de pantallas como señal de desconexión emocional con el adulto,Culpa,MOFU,Descarga NOA y trabaja el módulo de vínculo esta semana,Reel con pregunta provocadora + giro explicativo,30-45s,pantallas adolescentes AACC vínculo conexión límites tecnología,SCRIPT,ALTA,S2,No atacar las pantallas. El ángulo diferencial es el vínculo. Revisar bibliografía de Daniel Siegel sobre adolescentes y conexión.,0
IDEA-004,2026-05-10,Cuestionar todo como superpoder,Tu hijo no es rebelde. Su cerebro está diseñado para cuestionar autoridades.,Cada vez que pone a prueba una norma está ejercitando el pensamiento crítico.,El mismo hijo que te vuelve loco cuestionando todo será el adulto más competente que conozcas.,Cansancio + orgullo ambivalente,Adolescente AACC que no acepta ninguna norma sin justificación,Cansancio,TOFU,Etiqueta a otro padre que también tenga un hijo que cuestiona todo,Reel con giro emocional en el segundo 20,28-32s,cuestionamiento normas AACC pensamiento crítico adolescente rebeldía autoridad,APPROVED,MEDIA,S1,Ojo con romantizar demasiado. El objetivo es validar al padre cansado no solo al hijo. Equilibrio.,3
IDEA-005,2026-05-11,El agotamiento que nadie ve,Hay un agotamiento que no aparece en el médico pero lo sientes cada día.,Criar a un hijo AACC es agotador de una manera que es muy difícil de explicar.,Llevas meses funcionando en modo supervivencia. Esto tiene nombre: agotamiento parental.,Soledad + agotamiento profundo,Burnout parental silencioso en padres de AACC,Soledad,MOFU,Prueba NOA gratis 7 días - hay un módulo diseñado para padres agotados,Reel intimista en plano cercano voz suave,35-40s,agotamiento burnout parental AACC crianza intensiva fatiga,APPROVED,ALTA,S1,Muy importante no ofrecer solución en este vídeo. Solo validación profunda. La solución llega en el CTA.,2
IDEA-006,2026-05-11,La culpa de los viernes por la noche,El viernes por la noche deberías estar descansando. Estás repasando qué hiciste mal esta semana.,Otro día sintiéndote un mal padre. Aunque lo has dado todo.,La culpa parental en familias AACC es un peso específico que casi nadie entiende.,Culpa + vergüenza + soledad,Culpa parental crónica en padres de hijos AACC,Culpa,MOFU,Descarga NOA - tu hijo no es el único que necesita apoyo,Reel confesional a cámara fija sin cortes,38-45s,culpa parental AACC vergüenza fracaso sensación padres,SCRIPT,ALTA,S2,Conectar explícitamente con el hecho de que NOA es también para el bienestar del padre. No solo para el hijo.,0
IDEA-007,2026-05-11,El adolescente que cuestiona tu autoridad moral,Mi hijo de 14 años me preguntó si tenía argumentos reales para esa norma. No supe qué decir.,Tu hijo no solo cuestiona tus normas. Cuestiona si eres coherente con ellas.,Cuando tu hijo es más lógico que tú en una discusión. Sí. Eso pasa.,Perplejidad + humor incómodo,Adolescente AACC que supera al adulto en debate lógico,Perplejidad,TOFU,Comenta con el emoji si tu hijo también te gana los debates,Reel con tono semihúmorístico pero con fondo emocional real,30-35s,autoridad parental AACC adolescente lógica debate normas coherencia,IDEA,MEDIA,S3,Probar un tono más ligero y con humor. Puede conectar con más audiencia. Medir si baja la profundidad o aumenta el alcance.,0
IDEA-008,2026-05-11,El problema social que más duele,Mi hijo es brillante pero en el recreo está solo. Eso duele más que cualquier nota.,El mayor dolor de criar a un AACC no es académico. Es el de verle sin amigos.,Inteligencia no es igual a habilidad social. Esto es lo que pasa en el cerebro de tu hijo.,Dolor + preocupación profunda,Aislamiento social del adolescente AACC en entorno escolar,Dolor,TOFU,Comenta SOLO si esto te suena. Necesito saberlo.,Reel emocional con música suave e imágenes evocadoras,28-32s,aislamiento social AACC adolescente amigos instituto recreo,APPROVED,ALTA,S2,No trivializar. Es uno de los dolores más genuinos de los padres de AACC. Tono muy cuidadoso. Sin promesas vacías.,1
IDEA-009,2026-05-12,Las 3 frases que cierran la comunicación,Hay 3 frases que los padres de AACC dicen pensando que ayudan. Y hacen lo contrario.,Si dices alguna de estas 3 frases tu hijo dejará de contarte cosas. Para siempre.,Para que tu hijo te hable primero tienes que aprender a no hablar tú.,Urgencia + revelación + corrección,Fallos de comunicación típicos que distancian al padre del hijo AACC,Urgencia,MOFU,Prueba NOA y aprende qué decir en cada situación difícil,Reel formato lista con texto grande en pantalla,40-45s,comunicación AACC frases errores padres adolescente conversación difícil,APPROVED,ALTA,S2,Las 3 frases deben ser reconocibles y vergonzosamente comunes. Probarlas con el equipo antes de publicar.,2
IDEA-010,2026-05-12,Hipersensibilidad no es drama,Tu hijo no exagera. Tiene un sistema nervioso que procesa el mundo de otra manera.,La hipersensibilidad del AACC es una característica neurológica. No un defecto de carácter.,Dejar de ver la hipersensibilidad como problema es el primer paso para ayudar a tu hijo.,Alivio + validación científica,Hipersensibilidad AACC malinterpretada como manipulación o drama,Alivio,MOFU,Sigue para aprender a acompañar la hipersensibilidad de tu hijo,Reel educativo con infografía simple del sistema nervioso,32-38s,hipersensibilidad AACC neurología emociones sistema nervioso sobreexcitabilidad,APPROVED,ALTA,S3,Dato clave: Dabrowski y las sobreexcitabilidades. Hacerlo accesible sin perder rigor científico.,1
IDEA-011,2026-05-12,Cuando explicar demasiado sale mal,Cuanto más le explicas por qué tiene que hacer algo menos te hace caso. No es casualidad.,Le das argumentos perfectos y sigue sin obedecer. Esto es lo que está fallando.,El error más frecuente de los padres de AACC es dar demasiadas explicaciones en el momento equivocado.,Confusión + desgaste + revelación,Padres que sobre-argumentan como respuesta a la demanda de razones del AACC,Confusión,TOFU,Guarda este vídeo para la próxima vez que entres en bucle de explicaciones,Reel con dramatización breve + explicación,30-35s,comunicación AACC explicaciones razonamiento normas adolescente desgaste,APPROVED,ALTA,S2,Idea central del guion-reel.md. Usar como pieza de referencia de calidad de producción.,0
